lake,distal.spine,,,,,,,,,,,,,,,,,,,,,
Boshkung,4.298,,,,,,,,,,,,,,,,,,,,,
Boshkung,4.834,,,,,,,,,,,,,,,,,,,,,
Boshkung,4.848,,,,,,,,,,,,,,,,,,,,,
Boshkung,4.899,,,,,,,,,,,,,,,,,,,,,
Boshkung,4.912,,,,,,,,,,,,,,,,,,,,,
Boshkung,4.985,,,,,,,,,,,,,,,,,,,,,
Boshkung,4.995,,,,,,,,,,,,,,,,,,,,,
Boshkung,5,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.025,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.03,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.034,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.064,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.064,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.078,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.088,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.092,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.095,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.114,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.121,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.125,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.137,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.153,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.158,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.164,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.165,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.167,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.171,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.171,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.171,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.171,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.172,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.181,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.191,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.207,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.212,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.213,,,,,,,,,,,,,,,,,,,,,
