Lake,Predation,Year,Instar,distal.spine
Boshkung,NGLP,2008,1,4.298
Boshkung,NGLP,2008,1,4.834
Boshkung,NGLP,2008,1,4.848
Boshkung,NGLP,2008,1,4.899
Boshkung,NGLP,2008,1,4.912
Boshkung,NGLP,2008,1,4.985
Boshkung,NGLP,2008,1,4.995
Boshkung,NGLP,2008,1,5
Boshkung,NGLP,2008,1,5.025
Boshkung,NGLP,2008,1,5.03
Boshkung,NGLP,2008,1,5.034
Boshkung,NGLP,2008,1,5.064
Boshkung,NGLP,2008,1,5.064
Boshkung,NGLP,2008,1,5.078
Boshkung,NGLP,2008,1,5.088
Boshkung,NGLP,2008,1,5.092
Boshkung,NGLP,2008,1,5.095
Boshkung,NGLP,2008,1,5.114
Boshkung,NGLP,2008,1,5.121
Boshkung,NGLP,2008,1,5.125
Boshkung,NGLP,2008,1,5.137
Boshkung,NGLP,2008,1,5.153
Boshkung,NGLP,2008,1,5.158
Boshkung,NGLP,2008,1,5.164
Boshkung,NGLP,2008,1,5.165
Boshkung,NGLP,2008,1,5.167
Boshkung,NGLP,2008,1,5.171
Boshkung,NGLP,2008,1,5.171
Boshkung,NGLP,2008,1,5.171
Boshkung,NGLP,2008,1,5.171
Boshkung,NGLP,2008,1,5.172
Boshkung,NGLP,2008,1,5.181
Boshkung,NGLP,2008,1,5.191
Boshkung,NGLP,2008,1,5.207
Boshkung,NGLP,2008,1,5.212
Boshkung,NGLP,2008,1,5.213
Boshkung,NGLP,2008,1,5.223
Boshkung,NGLP,2008,1,5.226
Boshkung,NGLP,2008,1,5.229
Boshkung,NGLP,2008,1,5.233
Boshkung,NGLP,2008,1,5.242
Boshkung,NGLP,2008,1,5.243
Boshkung,NGLP,2008,1,5.249
Boshkung,NGLP,2008,1,5.25
Boshkung,NGLP,2008,1,5.266
Boshkung,NGLP,2008,1,5.27
Boshkung,NGLP,2008,1,5.292
Boshkung,NGLP,2008,1,5.293
Boshkung,NGLP,2008,1,5.301
Boshkung,NGLP,2008,1,5.303
Boshkung,NGLP,2008,1,5.308
Boshkung,NGLP,2008,1,5.314
Boshkung,NGLP,2008,1,5.316
Boshkung,NGLP,2008,1,5.328
Boshkung,NGLP,2008,1,5.334
Boshkung,NGLP,2008,1,5.341
Boshkung,NGLP,2008,1,5.348
Boshkung,NGLP,2008,1,5.353
Boshkung,NGLP,2008,1,5.358
Boshkung,NGLP,2008,1,5.36
Boshkung,NGLP,2008,1,5.361
Boshkung,NGLP,2008,1,5.365
Boshkung,NGLP,2008,1,5.366
Boshkung,NGLP,2008,1,5.37
Boshkung,NGLP,2008,1,5.372
Boshkung,NGLP,2008,1,5.374
Boshkung,NGLP,2008,1,5.377
Boshkung,NGLP,2008,1,5.382
Boshkung,NGLP,2008,1,5.391
Boshkung,NGLP,2008,1,5.393
Boshkung,NGLP,2008,1,5.393
Boshkung,NGLP,2008,1,5.435
Boshkung,NGLP,2008,1,5.435
Boshkung,NGLP,2008,1,5.467
Boshkung,NGLP,2008,1,5.471
Boshkung,NGLP,2008,1,5.489
Boshkung,NGLP,2008,1,5.519
Boshkung,NGLP,2008,1,5.53
Boshkung,NGLP,2008,1,5.545
Boshkung,NGLP,2008,1,5.546
Boshkung,NGLP,2008,1,5.559
Boshkung,NGLP,2008,1,5.563
Boshkung,NGLP,2008,1,5.565
Boshkung,NGLP,2008,1,5.577
Boshkung,NGLP,2008,1,5.595
Boshkung,NGLP,2008,1,5.612
Boshkung,NGLP,2008,1,5.637
Boshkung,NGLP,2008,1,5.66
Boshkung,NGLP,2008,1,5.678
Boshkung,NGLP,2008,1,5.686
Boshkung,NGLP,2008,1,5.707
Boshkung,NGLP,2008,1,5.712
Boshkung,NGLP,2008,1,5.718
Boshkung,NGLP,2008,1,5.75
Boshkung,NGLP,2008,1,5.775
Boshkung,NGLP,2008,1,5.793
Boshkung,NGLP,2008,1,5.824
Boshkung,NGLP,2008,1,5.826
Boshkung,NGLP,2008,1,5.974
Boshkung,NGLP,2008,2,5.047
Boshkung,NGLP,2008,2,5.057
Boshkung,NGLP,2008,2,5.061
Boshkung,NGLP,2008,2,5.064
Boshkung,NGLP,2008,2,5.066
Boshkung,NGLP,2008,2,5.07
Boshkung,NGLP,2008,2,5.093
Boshkung,NGLP,2008,2,5.098
Boshkung,NGLP,2008,2,5.103
Boshkung,NGLP,2008,2,5.113
Boshkung,NGLP,2008,2,5.12
Boshkung,NGLP,2008,2,5.127
Boshkung,NGLP,2008,2,5.129
Boshkung,NGLP,2008,2,5.152
Boshkung,NGLP,2008,2,5.152
Boshkung,NGLP,2008,2,5.161
Boshkung,NGLP,2008,2,5.165
Boshkung,NGLP,2008,2,5.176
Boshkung,NGLP,2008,2,5.177
Boshkung,NGLP,2008,2,5.18
Boshkung,NGLP,2008,2,5.181
Boshkung,NGLP,2008,2,5.19
Boshkung,NGLP,2008,2,5.197
Boshkung,NGLP,2008,2,5.206
Boshkung,NGLP,2008,2,5.233
Boshkung,NGLP,2008,2,5.242
Boshkung,NGLP,2008,2,5.246
Boshkung,NGLP,2008,2,5.259
Boshkung,NGLP,2008,2,5.268
Boshkung,NGLP,2008,2,5.274
Boshkung,NGLP,2008,2,5.275
Boshkung,NGLP,2008,2,5.281
Boshkung,NGLP,2008,2,5.283
Boshkung,NGLP,2008,2,5.292
Boshkung,NGLP,2008,2,5.296
Boshkung,NGLP,2008,2,5.306
Boshkung,NGLP,2008,2,5.311
Boshkung,NGLP,2008,2,5.315
Boshkung,NGLP,2008,2,5.332
Boshkung,NGLP,2008,2,5.336
Boshkung,NGLP,2008,2,5.343
Boshkung,NGLP,2008,2,5.365
Boshkung,NGLP,2008,2,5.373
Boshkung,NGLP,2008,2,5.375
Boshkung,NGLP,2008,2,5.384
Boshkung,NGLP,2008,2,5.387
Boshkung,NGLP,2008,2,5.396
Boshkung,NGLP,2008,2,5.396
Boshkung,NGLP,2008,2,5.419
Boshkung,NGLP,2008,2,5.422
Boshkung,NGLP,2008,2,5.423
Boshkung,NGLP,2008,2,5.463
Boshkung,NGLP,2008,2,5.499
Boshkung,NGLP,2008,2,5.505
Boshkung,NGLP,2008,2,5.514
Boshkung,NGLP,2008,2,5.519
Boshkung,NGLP,2008,2,5.519
Boshkung,NGLP,2008,2,5.546
Boshkung,NGLP,2008,2,5.553
Boshkung,NGLP,2008,2,5.583
Boshkung,NGLP,2008,2,5.6
Boshkung,NGLP,2008,2,5.627
Boshkung,NGLP,2008,2,5.631
Boshkung,NGLP,2008,2,5.658
Boshkung,NGLP,2008,2,5.661
Boshkung,NGLP,2008,2,5.676
Boshkung,NGLP,2008,2,5.685
Boshkung,NGLP,2008,2,5.701
Boshkung,NGLP,2008,2,5.707
Boshkung,NGLP,2008,2,5.748
Boshkung,NGLP,2008,2,5.847
