Lake,Predation,Year,Instar,distal.spine
Fairy,GLP,2008,1,5.229
Fairy,GLP,2008,1,5.442
Fairy,GLP,2008,1,5.506
Fairy,GLP,2008,1,5.507
Fairy,GLP,2008,1,5.515
Fairy,GLP,2008,1,5.523
Fairy,GLP,2008,1,5.62
Fairy,GLP,2008,1,5.627
Fairy,GLP,2008,1,5.633
Fairy,GLP,2008,1,5.645
Fairy,GLP,2008,1,5.658
Fairy,GLP,2008,1,5.671
Fairy,GLP,2008,1,5.678
Fairy,GLP,2008,1,5.69
Fairy,GLP,2008,1,5.717
Fairy,GLP,2008,1,5.728
Fairy,GLP,2008,1,5.741
Fairy,GLP,2008,1,5.743
Fairy,GLP,2008,1,5.745
Fairy,GLP,2008,1,5.763
Fairy,GLP,2008,1,5.774
Fairy,GLP,2008,1,5.782
Fairy,GLP,2008,1,5.792
Fairy,GLP,2008,1,5.794
Fairy,GLP,2008,1,5.797
Fairy,GLP,2008,1,5.8
Fairy,GLP,2008,1,5.804
Fairy,GLP,2008,1,5.812
Fairy,GLP,2008,1,5.818
Fairy,GLP,2008,1,5.834
Fairy,GLP,2008,1,5.857
Fairy,GLP,2008,1,5.861
Fairy,GLP,2008,1,5.868
Fairy,GLP,2008,1,5.873
Fairy,GLP,2008,1,5.885
Fairy,GLP,2008,1,5.895
Fairy,GLP,2008,1,5.896
Fairy,GLP,2008,1,5.897
Fairy,GLP,2008,1,5.904
Fairy,GLP,2008,1,5.904
Fairy,GLP,2008,1,5.908
Fairy,GLP,2008,1,5.909
Fairy,GLP,2008,1,5.91
Fairy,GLP,2008,1,5.911
Fairy,GLP,2008,1,5.913
Fairy,GLP,2008,1,5.917
Fairy,GLP,2008,1,5.933
Fairy,GLP,2008,1,5.941
Fairy,GLP,2008,1,5.949
Fairy,GLP,2008,1,5.959
Fairy,GLP,2008,1,5.962
Fairy,GLP,2008,1,5.966
Fairy,GLP,2008,1,5.971
Fairy,GLP,2008,1,5.977
Fairy,GLP,2008,1,5.977
Fairy,GLP,2008,1,6.007
Fairy,GLP,2008,1,6.023
Fairy,GLP,2008,1,6.035
Fairy,GLP,2008,1,6.048
Fairy,GLP,2008,1,6.05
Fairy,GLP,2008,1,6.053
Fairy,GLP,2008,1,6.054
Fairy,GLP,2008,1,6.056
Fairy,GLP,2008,1,6.067
Fairy,GLP,2008,1,6.067
Fairy,GLP,2008,1,6.079
Fairy,GLP,2008,1,6.08
Fairy,GLP,2008,1,6.087
Fairy,GLP,2008,1,6.09
Fairy,GLP,2008,1,6.097
Fairy,GLP,2008,1,6.104
Fairy,GLP,2008,1,6.107
Fairy,GLP,2008,1,6.108
Fairy,GLP,2008,1,6.109
Fairy,GLP,2008,1,6.11
Fairy,GLP,2008,1,6.116
Fairy,GLP,2008,1,6.151
Fairy,GLP,2008,1,6.157
Fairy,GLP,2008,1,6.159
Fairy,GLP,2008,1,6.161
Fairy,GLP,2008,1,6.206
Fairy,GLP,2008,1,6.207
Fairy,GLP,2008,1,6.212
Fairy,GLP,2008,1,6.218
Fairy,GLP,2008,1,6.222
Fairy,GLP,2008,1,6.228
Fairy,GLP,2008,1,6.254
Fairy,GLP,2008,1,6.259
Fairy,GLP,2008,1,6.261
Fairy,GLP,2008,1,6.265
Fairy,GLP,2008,1,6.284
Fairy,GLP,2008,1,6.295
Fairy,GLP,2008,1,6.296
Fairy,GLP,2008,1,6.319
Fairy,GLP,2008,1,6.346
Fairy,GLP,2008,1,6.365
Fairy,GLP,2008,1,6.376
Fairy,GLP,2008,1,6.432
Fairy,GLP,2008,1,6.46
Fairy,GLP,2008,1,6.487
Fairy,GLP,2008,1,6.488
Fairy,GLP,2008,1,6.531
Fairy,GLP,2008,1,6.563
Fairy,GLP,2008,2,4.96
Fairy,GLP,2008,2,5.195
Fairy,GLP,2008,2,5.545
Fairy,GLP,2008,2,5.6
Fairy,GLP,2008,2,5.621
Fairy,GLP,2008,2,5.658
Fairy,GLP,2008,2,5.671
Fairy,GLP,2008,2,5.671
Fairy,GLP,2008,2,5.678
Fairy,GLP,2008,2,5.689
Fairy,GLP,2008,2,5.69
Fairy,GLP,2008,2,5.703
Fairy,GLP,2008,2,5.705
Fairy,GLP,2008,2,5.779
Fairy,GLP,2008,2,5.78
Fairy,GLP,2008,2,5.786
Fairy,GLP,2008,2,5.787
Fairy,GLP,2008,2,5.791
Fairy,GLP,2008,2,5.795
Fairy,GLP,2008,2,5.801
Fairy,GLP,2008,2,5.801
Fairy,GLP,2008,2,5.801
Fairy,GLP,2008,2,5.804
Fairy,GLP,2008,2,5.815
Fairy,GLP,2008,2,5.816
Fairy,GLP,2008,2,5.822
Fairy,GLP,2008,2,5.829
Fairy,GLP,2008,2,5.833
Fairy,GLP,2008,2,5.834
Fairy,GLP,2008,2,5.843
Fairy,GLP,2008,2,5.844
Fairy,GLP,2008,2,5.845
Fairy,GLP,2008,2,5.846
Fairy,GLP,2008,2,5.846
Fairy,GLP,2008,2,5.847
Fairy,GLP,2008,2,5.848
Fairy,GLP,2008,2,5.85
Fairy,GLP,2008,2,5.851
Fairy,GLP,2008,2,5.851
Fairy,GLP,2008,2,5.853
Fairy,GLP,2008,2,5.859
Fairy,GLP,2008,2,5.864
Fairy,GLP,2008,2,5.865
Fairy,GLP,2008,2,5.868
Fairy,GLP,2008,2,5.871
Fairy,GLP,2008,2,5.88
Fairy,GLP,2008,2,5.885
Fairy,GLP,2008,2,5.886
Fairy,GLP,2008,2,5.891
Fairy,GLP,2008,2,5.892
Fairy,GLP,2008,2,5.901
Fairy,GLP,2008,2,5.902
Fairy,GLP,2008,2,5.911
Fairy,GLP,2008,2,5.917
Fairy,GLP,2008,2,5.928
Fairy,GLP,2008,2,5.93
Fairy,GLP,2008,2,5.93
Fairy,GLP,2008,2,5.931
Fairy,GLP,2008,2,5.934
Fairy,GLP,2008,2,5.937
Fairy,GLP,2008,2,5.937
Fairy,GLP,2008,2,5.938
Fairy,GLP,2008,2,5.938
Fairy,GLP,2008,2,5.938
Fairy,GLP,2008,2,5.948
Fairy,GLP,2008,2,5.948
Fairy,GLP,2008,2,5.951
Fairy,GLP,2008,2,5.952
Fairy,GLP,2008,2,5.954
Fairy,GLP,2008,2,5.955
Fairy,GLP,2008,2,5.955
Fairy,GLP,2008,2,5.956
Fairy,GLP,2008,2,5.969
Fairy,GLP,2008,2,5.97
Fairy,GLP,2008,2,5.974
Fairy,GLP,2008,2,5.976
Fairy,GLP,2008,2,5.98
Fairy,GLP,2008,2,5.984
Fairy,GLP,2008,2,5.985
Fairy,GLP,2008,2,5.99
Fairy,GLP,2008,2,5.997
Fairy,GLP,2008,2,5.998
Fairy,GLP,2008,2,6.003
Fairy,GLP,2008,2,6.005
Fairy,GLP,2008,2,6.006
Fairy,GLP,2008,2,6.006
Fairy,GLP,2008,2,6.008
Fairy,GLP,2008,2,6.011
Fairy,GLP,2008,2,6.011
Fairy,GLP,2008,2,6.012
Fairy,GLP,2008,2,6.013
Fairy,GLP,2008,2,6.016
Fairy,GLP,2008,2,6.02
Fairy,GLP,2008,2,6.02
Fairy,GLP,2008,2,6.02
Fairy,GLP,2008,2,6.021
Fairy,GLP,2008,2,6.021
Fairy,GLP,2008,2,6.021
Fairy,GLP,2008,2,6.023
Fairy,GLP,2008,2,6.027
Fairy,GLP,2008,2,6.029
Fairy,GLP,2008,2,6.029
Fairy,GLP,2008,2,6.03
Fairy,GLP,2008,2,6.035
Fairy,GLP,2008,2,6.035
Fairy,GLP,2008,2,6.036
Fairy,GLP,2008,2,6.039
Fairy,GLP,2008,2,6.04
Fairy,GLP,2008,2,6.04
Fairy,GLP,2008,2,6.04
Fairy,GLP,2008,2,6.043
Fairy,GLP,2008,2,6.044
Fairy,GLP,2008,2,6.044
Fairy,GLP,2008,2,6.046
Fairy,GLP,2008,2,6.048
Fairy,GLP,2008,2,6.049
Fairy,GLP,2008,2,6.053
Fairy,GLP,2008,2,6.054
Fairy,GLP,2008,2,6.058
Fairy,GLP,2008,2,6.066
Fairy,GLP,2008,2,6.071
Fairy,GLP,2008,2,6.073
Fairy,GLP,2008,2,6.077
Fairy,GLP,2008,2,6.077
Fairy,GLP,2008,2,6.078
Fairy,GLP,2008,2,6.082
Fairy,GLP,2008,2,6.083
Fairy,GLP,2008,2,6.086
Fairy,GLP,2008,2,6.089
Fairy,GLP,2008,2,6.095
Fairy,GLP,2008,2,6.095
Fairy,GLP,2008,2,6.096
Fairy,GLP,2008,2,6.098
Fairy,GLP,2008,2,6.098
Fairy,GLP,2008,2,6.099
Fairy,GLP,2008,2,6.1
Fairy,GLP,2008,2,6.1
Fairy,GLP,2008,2,6.101
Fairy,GLP,2008,2,6.101
Fairy,GLP,2008,2,6.102
Fairy,GLP,2008,2,6.103
Fairy,GLP,2008,2,6.107
Fairy,GLP,2008,2,6.109
Fairy,GLP,2008,2,6.11
Fairy,GLP,2008,2,6.111
Fairy,GLP,2008,2,6.113
Fairy,GLP,2008,2,6.116
Fairy,GLP,2008,2,6.116
Fairy,GLP,2008,2,6.117
Fairy,GLP,2008,2,6.117
Fairy,GLP,2008,2,6.118
Fairy,GLP,2008,2,6.119
Fairy,GLP,2008,2,6.12
Fairy,GLP,2008,2,6.121
Fairy,GLP,2008,2,6.122
Fairy,GLP,2008,2,6.123
Fairy,GLP,2008,2,6.123
Fairy,GLP,2008,2,6.125
Fairy,GLP,2008,2,6.13
Fairy,GLP,2008,2,6.133
Fairy,GLP,2008,2,6.135
Fairy,GLP,2008,2,6.136
Fairy,GLP,2008,2,6.137
Fairy,GLP,2008,2,6.14
Fairy,GLP,2008,2,6.141
Fairy,GLP,2008,2,6.147
Fairy,GLP,2008,2,6.15
Fairy,GLP,2008,2,6.151
Fairy,GLP,2008,2,6.154
Fairy,GLP,2008,2,6.155
Fairy,GLP,2008,2,6.156
Fairy,GLP,2008,2,6.157
Fairy,GLP,2008,2,6.157
Fairy,GLP,2008,2,6.159
Fairy,GLP,2008,2,6.163
Fairy,GLP,2008,2,6.163
Fairy,GLP,2008,2,6.166
Fairy,GLP,2008,2,6.167
Fairy,GLP,2008,2,6.168
Fairy,GLP,2008,2,6.17
Fairy,GLP,2008,2,6.172
Fairy,GLP,2008,2,6.175
Fairy,GLP,2008,2,6.176
Fairy,GLP,2008,2,6.179
Fairy,GLP,2008,2,6.179
Fairy,GLP,2008,2,6.18
Fairy,GLP,2008,2,6.18
Fairy,GLP,2008,2,6.182
Fairy,GLP,2008,2,6.184
Fairy,GLP,2008,2,6.185
Fairy,GLP,2008,2,6.188
Fairy,GLP,2008,2,6.188
Fairy,GLP,2008,2,6.191
Fairy,GLP,2008,2,6.192
Fairy,GLP,2008,2,6.193
Fairy,GLP,2008,2,6.193
Fairy,GLP,2008,2,6.196
Fairy,GLP,2008,2,6.197
Fairy,GLP,2008,2,6.197
Fairy,GLP,2008,2,6.198
Fairy,GLP,2008,2,6.199
Fairy,GLP,2008,2,6.201
Fairy,GLP,2008,2,6.206
Fairy,GLP,2008,2,6.207
Fairy,GLP,2008,2,6.209
Fairy,GLP,2008,2,6.209
Fairy,GLP,2008,2,6.211
Fairy,GLP,2008,2,6.219
Fairy,GLP,2008,2,6.22
Fairy,GLP,2008,2,6.22
Fairy,GLP,2008,2,6.221
Fairy,GLP,2008,2,6.223
Fairy,GLP,2008,2,6.224
Fairy,GLP,2008,2,6.227
Fairy,GLP,2008,2,6.228
Fairy,GLP,2008,2,6.228
Fairy,GLP,2008,2,6.23
Fairy,GLP,2008,2,6.232
Fairy,GLP,2008,2,6.236
Fairy,GLP,2008,2,6.237
Fairy,GLP,2008,2,6.238
Fairy,GLP,2008,2,6.238
Fairy,GLP,2008,2,6.24
Fairy,GLP,2008,2,6.241
Fairy,GLP,2008,2,6.241
Fairy,GLP,2008,2,6.242
Fairy,GLP,2008,2,6.242
Fairy,GLP,2008,2,6.245
Fairy,GLP,2008,2,6.248
Fairy,GLP,2008,2,6.251
Fairy,GLP,2008,2,6.254
Fairy,GLP,2008,2,6.255
Fairy,GLP,2008,2,6.257
Fairy,GLP,2008,2,6.26
Fairy,GLP,2008,2,6.268
Fairy,GLP,2008,2,6.272
Fairy,GLP,2008,2,6.272
Fairy,GLP,2008,2,6.273
Fairy,GLP,2008,2,6.273
Fairy,GLP,2008,2,6.277
Fairy,GLP,2008,2,6.28
Fairy,GLP,2008,2,6.285
Fairy,GLP,2008,2,6.285
Fairy,GLP,2008,2,6.29
Fairy,GLP,2008,2,6.293
Fairy,GLP,2008,2,6.294
Fairy,GLP,2008,2,6.3
Fairy,GLP,2008,2,6.301
Fairy,GLP,2008,2,6.303
Fairy,GLP,2008,2,6.308
Fairy,GLP,2008,2,6.311
Fairy,GLP,2008,2,6.313
Fairy,GLP,2008,2,6.314
Fairy,GLP,2008,2,6.318
Fairy,GLP,2008,2,6.324
Fairy,GLP,2008,2,6.325
Fairy,GLP,2008,2,6.325
Fairy,GLP,2008,2,6.336
Fairy,GLP,2008,2,6.34
Fairy,GLP,2008,2,6.342
Fairy,GLP,2008,2,6.349
Fairy,GLP,2008,2,6.35
Fairy,GLP,2008,2,6.353
Fairy,GLP,2008,2,6.359
Fairy,GLP,2008,2,6.36
Fairy,GLP,2008,2,6.361
Fairy,GLP,2008,2,6.361
Fairy,GLP,2008,2,6.368
Fairy,GLP,2008,2,6.368
Fairy,GLP,2008,2,6.371
Fairy,GLP,2008,2,6.373
Fairy,GLP,2008,2,6.376
Fairy,GLP,2008,2,6.381
Fairy,GLP,2008,2,6.382
Fairy,GLP,2008,2,6.382
Fairy,GLP,2008,2,6.386
Fairy,GLP,2008,2,6.391
Fairy,GLP,2008,2,6.392
Fairy,GLP,2008,2,6.394
Fairy,GLP,2008,2,6.395
Fairy,GLP,2008,2,6.405
Fairy,GLP,2008,2,6.405
Fairy,GLP,2008,2,6.405
Fairy,GLP,2008,2,6.406
Fairy,GLP,2008,2,6.408
Fairy,GLP,2008,2,6.409
Fairy,GLP,2008,2,6.412
Fairy,GLP,2008,2,6.415
Fairy,GLP,2008,2,6.424
Fairy,GLP,2008,2,6.429
Fairy,GLP,2008,2,6.434
Fairy,GLP,2008,2,6.45
Fairy,GLP,2008,2,6.451
Fairy,GLP,2008,2,6.462
Fairy,GLP,2008,2,6.466
Fairy,GLP,2008,2,6.468
Fairy,GLP,2008,2,6.469
Fairy,GLP,2008,2,6.475
Fairy,GLP,2008,2,6.476
Fairy,GLP,2008,2,6.476
Fairy,GLP,2008,2,6.479
Fairy,GLP,2008,2,6.486
Fairy,GLP,2008,2,6.493
Fairy,GLP,2008,2,6.497
Fairy,GLP,2008,2,6.513
Fairy,GLP,2008,2,6.523
Fairy,GLP,2008,2,6.54
Fairy,GLP,2008,2,6.547
Fairy,GLP,2008,2,6.55
Fairy,GLP,2008,2,6.551
Fairy,GLP,2008,2,6.56
Fairy,GLP,2008,2,6.561
Fairy,GLP,2008,2,6.578
Fairy,GLP,2008,2,6.644
Fairy,GLP,2008,2,6.687
Fairy,GLP,2008,2,6.697
Fairy,GLP,2008,2,6.707
Fairy,GLP,2008,2,6.76
Fairy,GLP,2008,2,6.779
Fairy,GLP,2008,2,6.804
