"","Seeded","CloudCover","Snowed"
"1",1,97,1
"2",0,66,0
"3",1,50,1
"4",1,84,1
"5",0,77,1
"6",0,69,0
"7",1,49,1
"8",0,8,0
"9",0,11,0
"10",0,76,1
"11",0,68,0
"12",0,66,1
"13",0,63,0
"14",1,25,0
"15",0,91,1
"16",1,1,1
"17",1,41,1
"18",1,67,0
"19",1,51,1
"20",1,93,1
"21",1,90,1
"22",1,21,1
"23",0,98,0
"24",0,69,1
"25",0,31,0
"26",0,61,0
"27",0,83,0
"28",1,74,1
"29",0,25,0
"30",1,62,0
"31",0,60,0
"32",0,72,1
"33",1,30,0
"34",0,50,0
"35",0,90,1
"36",0,19,0
"37",1,45,1
"38",1,53,1
"39",1,49,0
"40",0,47,0
"41",1,56,1
"42",0,63,1
"43",1,75,1
"44",1,46,0
"45",0,26,1
"46",1,63,0
"47",0,45,0
"48",1,73,1
"49",1,3,0
"50",1,55,0
"51",1,11,0
"52",1,89,0
"53",0,43,0
"54",1,34,1
"55",1,82,0
