Country,mamm.t,bird.t,logarea,logGNP,logdomes,logprot,logorig,lgmammen,lgbirden,lgmammsp,lgbirdsp
Haiti                       ,4,11,7.92,5.53,3.95,0.34,0.59,0.00,0.00,1.39,4.33
Fiji                        ,4,9,7.51,7.80,3.22,0.69,3.93,0.69,3.30,1.61,4.32
New Zealand                 ,3,44,10.20,9.57,4.14,3.20,3.41,1.61,4.34,2.40,5.02
Iceland                     ,1,0,9.21,10.12,3.18,2.37,0.00,0.00,0.00,2.48,4.49
Dominican Rep               ,4,11,8.48,7.29,4.41,3.48,3.26,0.00,0.00,3.04,4.92
Kuwait                      ,1,3,7.49,9.76,2.20,0.92,0.00,0.00,0.00,3.09,3.04
Jamaica                     ,4,7,6.99,7.32,3.81,0.10,3.60,1.39,3.26,3.22,4.74
UAE,3,4,9.03,9.76,1.61,0.00,0.00,0.00,0.00,3.26,4.22
Ireland                     ,2,1,8.84,9.60,4.17,0.64,1.53,0.00,0.00,3.26,4.96
Lesotho                     ,2,5,8.02,6.65,4.34,0.18,0.00,0.00,0.00,3.53,4.08
Denmark                     ,3,2,8.35,10.31,4.16,3.50,0.59,0.00,0.00,3.78,5.28
Singapore                   ,6,9,4.13,10.19,1.10,1.69,1.41,0.69,0.00,3.83,4.78
Swaziland                   ,5,6,7.45,7.07,4.30,1.10,0.00,0.00,0.00,3.87,5.90
Korea Rep                  ,6,19,9.20,9.18,3.14,2.07,2.86,0.00,0.00,3.91,4.73
UK,4,2,10.09,9.84,4.28,3.07,1.95,0.00,0.00,3.93,5.44
Lebanon                     ,5,5,6.93,7.89,3.47,0.26,0.53,0.00,0.00,4.01,5.04
Norway                      ,4,3,10.33,10.35,1.39,2.05,4.51,0.00,0.00,4.01,5.50
Netherlands                 ,6,3,8.13,10.09,4.08,2.04,1.76,0.00,0.00,4.03,5.26
Oman                        ,9,5,9.96,8.48,1.79,2.84,0.00,1.10,0.00,4.04,4.68
Belgium                     ,6,3,10.32,10.12,3.83,1.28,3.09,0.00,0.00,4.08,5.20
Finland                     ,4,4,10.32,9.93,2.30,1.95,4.42,0.00,0.00,4.11,5.52
Sweden                      ,5,4,10.63,10.08,2.20,2.30,4.47,0.00,0.00,4.11,5.52
Mauritania                  ,14,3,11.54,6.13,3.66,0.99,0.00,0.69,0.00,4.13,5.61
Portugal                    ,13,7,9.12,9.18,3.78,2.01,2.30,0.69,1.10,4.16,5.34
"Estonia, Rep                ",4,2,8.35,7.96,3.56,2.56,3.40,0.00,0.00,4.19,5.37
Yemen                       ,5,13,10.87,5.56,3.53,0.00,0.00,1.10,2.20,4.20,4.97
Lithuania             ,5,4,8.78,7.55,4.01,2.40,2.83,0.00,0.00,4.23,5.31
Albania                     ,2,7,7.92,6.51,3.74,1.34,3.64,0.00,0.00,4.23,5.44
Jordan                      ,7,4,9.09,7.32,2.64,1.48,0.00,0.00,0.00,4.28,4.96
Hungary                     ,8,10,9.13,8.32,4.20,2.05,2.20,0.00,0.00,4.29,5.33
Switzerland                 ,6,4,8.28,10.61,3.71,2.94,3.83,0.00,0.00,4.33,5.27
Germany                     ,8,5,10.46,10.22,3.93,3.33,3.30,0.00,0.00,4.34,5.48
Saudi Arabia                ,9,11,12.28,8.86,4.08,1.19,0.00,0.00,0.00,4.36,5.05
Tunisia                     ,11,6,9.65,7.51,3.95,0.26,1.74,0.69,0.00,4.37,5.16
Bulgaria                    ,13,12,9.31,7.19,4.01,1.69,3.50,0.00,0.00,4.41,5.48
Uruguay                     ,5,11,9.77,8.55,4.45,0.26,0.00,0.69,0.00,4.41,5.47
Spain                       ,19,10,10.82,9.52,4.14,2.24,2.77,1.61,1.79,4.42,5.63
Latvia             ,4,6,8.73,7.73,3.74,2.60,3.04,0.00,0.00,4.43,5.38
Austria                     ,7,5,9.02,10.20,3.78,3.38,3.99,0.00,0.00,4.43,5.37
Poland,10,6,10.32,7.93,4.13,2.36,3.14,0.00,0.00,4.44,5.43
Romania                     ,16,11,10.04,7.30,4.17,1.74,3.76,0.00,0.00,4.44,5.51
Sri Lanka                   ,14,11,8.77,6.55,3.61,2.66,2.95,2.64,3.18,4.49,5.53
Italy                       ,10,7,10.29,9.85,3.99,2.12,3.04,1.39,0.00,4.51,5.46
Chile                       ,16,18,11.22,8.33,3.18,2.99,3.73,2.89,2.71,4.52,5.69
Algeria                     ,15,8,12.38,7.38,2.89,1.25,2.56,1.10,0.69,4.53,5.26
Israel                      ,13,8,7.63,9.68,3.37,2.77,0.00,1.61,0.00,4.53,5.20
France                      ,13,7,10.92,10.13,4.03,2.54,2.89,0.00,0.69,4.54,5.60
Greece                      ,13,10,9.46,9.01,4.23,1.16,2.89,1.10,0.00,4.56,5.53
Egypt                       ,15,11,11.51,6.67,1.39,0.59,0.00,2.08,0.00,4.60,5.04
Bhutan                      ,20,14,8.46,6.04,2.30,3.10,4.14,0.00,0.00,4.61,6.11
Trinidad Tobago,1,3,6.24,8.24,3.30,1.39,3.60,0.69,0.69,4.62,5.56
Morocco                     ,18,11,10.71,7.01,4.23,0.53,2.08,1.61,0.00,4.66,5.35
Madagascar                  ,46,28,10.97,5.44,3.87,1.06,2.64,4.44,4.65,4.66,5.31
Burundi                     ,5,6,7.85,5.08,4.47,1.89,1.50,0.00,0.00,4.68,6.11
