lake,distal.spine
Fairy,4.753
Fairy,4.952
Fairy,5.008
Fairy,5.019
Fairy,5.065
Fairy,5.07
Fairy,5.075
Fairy,5.169
Fairy,5.218
Fairy,5.278
Fairy,5.295
Fairy,5.297
Fairy,5.304
Fairy,5.33
Fairy,5.352
Fairy,5.383
Fairy,5.388
Fairy,5.391
Fairy,5.405
Fairy,5.426
Fairy,5.432
Fairy,5.44
Fairy,5.45
Fairy,5.468
Fairy,5.469
Fairy,5.472
Fairy,5.473
Fairy,5.487
Fairy,5.491
Fairy,5.494
Fairy,5.495
Fairy,5.497
Fairy,5.513
Fairy,5.518
Fairy,5.53
Fairy,5.54
Fairy,5.549
Fairy,5.556
Fairy,5.556
Fairy,5.556
Fairy,5.56
Fairy,5.561
Fairy,5.562
Fairy,5.573
Fairy,5.575
Fairy,5.582
Fairy,5.583
Fairy,5.586
Fairy,5.596
Fairy,5.596
Fairy,5.606
Fairy,5.609
Fairy,5.623
Fairy,5.629
Fairy,5.65
Fairy,5.66
Fairy,5.668
Fairy,5.679
Fairy,5.687
Fairy,5.691
Fairy,5.701
Fairy,5.705
Fairy,5.707
Fairy,5.714
Fairy,5.714
Fairy,5.719
Fairy,5.727
Fairy,5.732
Fairy,5.732
Fairy,5.733
Fairy,5.734
Fairy,5.742
Fairy,5.745
Fairy,5.748
Fairy,5.748
Fairy,5.75
Fairy,5.755
Fairy,5.767
Fairy,5.768
Fairy,5.786
Fairy,5.79
Fairy,5.792
Fairy,5.795
Fairy,5.796
Fairy,5.8
Fairy,5.825
Fairy,5.845
Fairy,5.846
Fairy,5.856
Fairy,5.891
Fairy,5.909
Fairy,5.913
Fairy,5.921
Fairy,5.927
Fairy,5.947
Fairy,5.962
Fairy,5.97
Fairy,5.972
Fairy,5.985
Fairy,5.987
Fairy,5.996
Fairy,5.996
Fairy,6
Fairy,6.012
Fairy,6.018
Fairy,6.023
Fairy,6.032
Fairy,6.041
Fairy,6.047
Fairy,6.059
Fairy,6.063
Fairy,6.077
Fairy,6.107
Fairy,6.117
Fairy,6.132
Fairy,6.166
Fairy,6.187
Harp,4.792
Harp,4.837
Harp,4.954
Harp,4.994
Harp,5.021
Harp,5.03
Harp,5.045
Harp,5.052
Harp,5.084
Harp,5.1
Harp,5.135
Harp,5.135
Harp,5.161
Harp,5.168
Harp,5.179
Harp,5.199
Harp,5.201
Harp,5.207
Harp,5.208
Harp,5.212
Harp,5.221
Harp,5.223
Harp,5.233
Harp,5.239
Harp,5.245
Harp,5.245
Harp,5.251
Harp,5.269
Harp,5.275
Harp,5.295
Harp,5.302
Harp,5.306
Harp,5.314
Harp,5.315
Harp,5.318
Harp,5.321
Harp,5.332
Harp,5.333
Harp,5.337
Harp,5.341
Harp,5.344
Harp,5.346
Harp,5.353
Harp,5.354
Harp,5.357
Harp,5.359
Harp,5.367
Harp,5.368
Harp,5.377
Harp,5.383
Harp,5.384
Harp,5.385
Harp,5.393
Harp,5.394
Harp,5.399
Harp,5.409
Harp,5.409
Harp,5.414
Harp,5.42
Harp,5.426
Harp,5.432
Harp,5.434
Harp,5.449
Harp,5.453
Harp,5.467
Harp,5.469
Harp,5.469
Harp,5.472
Harp,5.477
Harp,5.485
Harp,5.488
Harp,5.489
Harp,5.53
Harp,5.534
Harp,5.537
Harp,5.542
Harp,5.545
Harp,5.547
Harp,5.558
Harp,5.561
Harp,5.565
Harp,5.568
Harp,5.577
Harp,5.577
Harp,5.578
Harp,5.58
Harp,5.598
Harp,5.605
Harp,5.609
Harp,5.609
Harp,5.611
Harp,5.619
Harp,5.622
Harp,5.641
Harp,5.654
Harp,5.67
Harp,5.677
Harp,5.684
Harp,5.69
Harp,5.709
Harp,5.715
Harp,5.721
Harp,5.727
Harp,5.744
Harp,5.749
Harp,5.76
Harp,5.768
Harp,5.771
Harp,5.792
Harp,5.807
Harp,5.812
Harp,5.848
Harp,5.862
Harp,5.884
Harp,5.894
Harp,5.92
Harp,5.943
Harp,5.961
