GRID,BR,YR,AGE,BY,LN,Dam,FOOD,LSIZE,Julian,conestm1
FL,1,1989,4,1985,1,3,0,2,106,3.160903
FL,3,1989,2,1987,1,5,0,3,123,3.160903
LL,3,1989,3,1986,1,6,0,2,119,3.160903
FL,4,1989,3,1986,1,12,0,2,116,3.160903
FL,1,1989,6,1983,1,14,0,2,98,3.160903
SU,1,1989,4,1985,1,21,0,3,107,3.160903
LL,1,1989,2,1987,1,23,0,3,98,3.160903
LL,3,1989,3,1986,1,24,0,1,102,3.160903
LL,1,1989,3,1986,1,25,0,3,101,3.160903
SU,1,1989,3,1986,1,26,0,4,107,3.160903
LL,1,1989,3,1986,1,29,0,3,95,3.160903
LL,1,1989,3,1986,1,30,0,3,97,3.160903
KL,1,1989,2,1987,1,31,0,1,108,3.160903
KL,1,1989,4,1985,1,32,0,1,81,3.160903
KL,1,1989,3,1986,1,33,0,3,103,3.160903
KL,1,1989,3,1986,1,34,0,3,98,3.160903
FL,1,1989,4,1985,1,38,0,3,116,3.160903
KL,1,1989,3,1986,1,39,0,4,114,3.160903
FL,1,1989,4,1985,1,40,0,3,100,3.160903
SU,1,1989,4,1985,1,41,0,4,111,3.160903
SU,1,1989,4,1985,1,44,0,2,110,3.160903
KL,1,1989,2,1987,1,46,0,1,110,3.160903
SU,1,1989,3,1986,1,47,0,2,87,3.160903
SU,1,1989,4,1985,1,51,0,1,100,3.160903
SU,1,1989,4,1985,1,55,0,3,95,3.160903
FL,1,1989,2,1987,1,58,0,3,103,3.160903
SU,1,1989,3,1986,1,61,0,3,109,3.160903
LL,1,1989,4,1985,1,64,0,3,93,3.160903
LL,1,1989,3,1986,1,66,0,1,81,3.160903
SU,1,1989,3,1986,1,68,0,3,71,3.160903
KL,2,1989,4,1985,1,70,0,0,112,3.160903
FL,1,1989,3,1986,1,71,0,2,119,3.160903
FL,1,1989,4,1985,1,75,0,3,97,3.160903
KL,1,1989,4,1985,1,76,0,3,113,3.160903
KL,1,1989,2,1987,1,77,0,4,111,3.160903
FL,1,1989,5,1984,1,79,0,3,114,3.160903
LL,1,1989,3,1986,1,80,0,3,87,3.160903
SU,1,1989,3,1986,1,81,0,3,101,3.160903
SU,1,1989,4,1985,1,82,0,2,97,3.160903
SU,1,1989,3,1986,1,83,0,3,109,3.160903
KL,1,1989,4,1985,1,85,0,3,98,3.160903
FL,4,1989,2,1987,1,86,0,1,126,3.160903
LL,1,1989,3,1986,1,87,0,2,84,3.160903
LL,1,1989,3,1986,1,89,0,3,85,3.160903
