word,length,include
as,2,1
that,4,1
brightness,10,1
Yet,3,1
oh,2,1
where,5,1
it,2,1
with,4,1
as,2,1
the,3,1
stillness,9,1
hardships,9,1
it,2,1
the,3,1
ill,3,1
I,1,1
of,2,1
For,3,1
again,5,1
scurvy,6,1
no,2,1
The,3,1
foe,3,1
it,2,1
finish,6,1
O,1,1
theres,6,1
mouthed,7,1
world,5,1
top,3,1
to,2,1
gold,4,1
aimless,7,1
ive,3,1
will,4,1
youth,5,1
rivers,6,1
theres,6,1
The,3,1
run,3,1
it,2,1
the,3,1
hell,4,1
I,1,1
The,3,1
The,3,1
trade,5,1
the,3,1
screen,6,1
aleap,5,1
weird,5,1
God,3,1
the,3,1
the,3,1
a,1,1
He,2,1
exile,5,1
I,1,1
its,3,1
big,3,1
by,2,1
in,2,1
deaths,6,1
all,3,1
damsite,7,1
Maybe,5,1
land,4,1
white,5,1
unpeopled,9,1
some,4,1
rich,4,1
The,3,1
that,4,1
freedom,7,1
I,1,1
with,4,1
me,2,1
damned,6,1
as,2,1
slave,5,1
it,2,1
somehow,7,1
are,3,1
woods,5,1
fills,5,1
brim,4,1
the,3,1
And,3,1
that,4,1
plumb,5,1
made,4,1
And,3,1
the,3,1
it,2,1
broad,5,1
hang,4,1
been,4,1
sunshiny,8,1
I,1,1
are,3,1
taste,5,1
seen,4,1
strong,6,1
And,3,1
fought,6,1
the,3,1
peace,5,1
thought,7,1
last,4,1
me,2,1
the,3,1
peace,5,1
you,3,1
dizzy,5,1
but,3,1
that,4,1
land,4,1
wanted,6,1
I,1,1
So,2,1
valleys,7,1
like,4,1
it,2,1
silence,7,1
you,3,1
hurled,6,1
some,4,1
famine,6,1
knows,5,1
be,2,1
im,2,1
the,3,1
bludgeons,9,1
God,3,1
would,5,1
a,1,1
hate,4,1
say,3,1
will,4,1
to,2,1
gold,4,1
The,3,1
way,3,1
scrabbled,9,1
gold,4,1
Thank,5,1
land,4,1
sick,4,1
was,3,1
and,3,1
the,3,1
piled,5,1
mighty,6,1
out,3,1
the,3,1
mountains,9,1
im,2,1
some,4,1
you,3,1
gold,4,1
land,4,1
me,2,1
got,3,1
caribou,7,1
worst,5,1
stood,5,1
In,2,1
harness,7,1
and,3,1
snows,5,1
and,3,1
that,4,1
but,3,1
crop,4,1
on,2,1
beckons,7,
summer,6,
I,1,
There,5,
ive,3,
than,4,
big,3,
the,3,
are,3,
this,4,
on,2,
and,3,
that,4,
never,5,
its,3,
say,3,
stars,5,
The,3,
surely,6,
hell,4,
freshness,9,
that,4,
im,2,
erring,6,
slant,5,
and,3,
how,3,
champagne,9,
first,5,
you,3,
fight,5,
old,3,
sham,4,
history,7,
theres,6,
Some,4,
sought,6,
its,3,
are,3,
you,3,
a,1,
fortune,7,
good,4,
beckons,7,
the,3,
wallow,6,
silence,7,
deathlike,9,
the,3,
ever,4,
the,3,
my,2,
The,3,
money,5,
that,4,
You,3,
where,5,
Cames,5,
once,4,
a,1,
im,2,
where,5,
God,3,
and,3,
dim,3,
better,6,
watched,7,
that,4,
its,3,
all,3,
than,4,
its,3,
good,4,
the,3,
great,5,
asleep,6,
It,2,
theres,6,
of,2,
making,6,
what,4,
when,4,
mountains,9,
im,2,
Theyre,6,
older,5,
And,3,
much,4,
cold,4,
like,4,
in,2,
and,3,
the,3,
And,3,
the,3,
I,1,
You,3,
stuck,5,
gold,4,
its,3,
moonlight,9,
athrill,7,
call,4,
The,3,
the,3,
seems,5,
are,3,
That's,6,
seems,5,
the,3,
was,3,
since,5,
skinned,7,
friend,6,
are,3,
stillness,9,
a,1,
has,3,
the,3,
diminish,8,
a,1,
It,2,
thought,7,
No,2,
locked,6,
cussedest,9,
shadows,7,
a,1,
lease,5,
come,4,
sun,3,
gold,4,
o,1,
hush,4,
shun,4,
Have,4,
its,3,
to,2,
I,1,
lifes,5,
It,2,
a,1,
valleys,7,
set,3,
feel,4,
where,5,
from,4,
And,3,
finds,5,
lives,5,
grips,5,
by,2,
and,3,
worse,5,
From,4,
somehow,7,
of,2,
I,1,
when,4,
fall,4,
the,3,
The,3,
to,2,
sweeter,7,
land,4,
kinds,5,
back,4,
its,3,
out,3,
grave,5,
bade,4,
it,2,
Till,4,
dreaming,8,
a,1,
before,6,
by,2,
just,4,
it,2,
more,4,
the,3,
a,1,
land,4,
cant,4,
no,2,
beauty,6,
You,3,
the,3,
knows,5,
moon,4,
was,3,
ive,3,
all,3,
but,3,
where,5,
its,3,
wanted,6,
grow,4,
you,3,
to,2,
Yukon,5,
forests,7,
The,3,
ive,3,
that,4,
fear,4,
that,4,
yonder,6,
that,4,
not,3,
into,4,
theres,6,
like,4,
mystery,7,
then,4,
ive,3,
winter,6,
blinds,6,
the,3,
twists,6,
at,2,
neck,4,
than,4,
that,4,
to,2,
bighorn,7,
up,2,
season,6,
haunting,8,
on,2,
and,3,
the,3,
a,1,
namesless,9,
The,3,
crimson,7,
get,3,
the,3,
just,4,
wanting,7,
beginning,9,
on,2,
haunting,8,
garness,7,
With,4,
hollow,6,
earth,5,
it,2,
me,2,
and,3,
dumb,4,
end,3,
God,3,
fight,5,
drum,4,
gleaming,8,
reason,6,
grayling,8,
life,4,
hair,4,
there,5,
the,3,
isnt,4,
of,2,
and,3,
it,2,
a,1,
luring,6,
Yet,3,
land,4,
for,3,
I,1,
go,2,
follows,7,
and,3,
and,3,
the,3,
for,3,
Yukon,5,
There,5,
reckons,7,
the,3,
big,3,
sinning,7,
and,3,
rivers,6,
mucked,6,
thrills,7,
want,4,
It,2,
that,4,
And,3,
or,2,
pearly,6,
finding,7,
its,3,
deep,4,
like,4,
pike,4,
bet,3,
land,4,
an,2,
of,2,
to,2,
you,3,
its,3,
as,2,
the,3,
gold,4,
been,4,
no,2,
the,3,
The,3,
still,5,
isnt,4,
wonder,6,
ill,3,
all,3,
full,4,
woods,5,
And,3,
fine,4,
To,2,
and,3,
my,2,
wilds,5,
its,3,
with,4,
em,2,
tight,5,
are,3,
tired,5,
one,3,
on,2,
I,1,
Some,4,
it,2,
the,3,
the,3,
There,5,
So,2,
I,1,
knows,5,
tumbled,7,
the,3,
below,5,
peaks,5,
nobody,6,
Was,3,
it,2,
husky,5,
you,3,
The,3,
hill,4,
to,2,
it,2,
