year,week,deaths
2010,1,12968
2010,2,12541
2010,3,11762
2010,4,11056
2010,5,10524
2010,6,10117
2010,7,10102
2010,8,10295
2010,9,9981
2010,10,9792
2010,11,9729
2010,12,9631
2010,13,8004
2010,14,9756
2010,15,9892
2010,16,9449
2010,17,9503
2010,18,8343
2010,19,9483
2010,20,9190
2010,21,9452
2010,22,8178
2010,23,9259
2010,24,8513
2010,25,8461
2010,26,8973
2010,27,8627
2010,28,8541
2010,29,8261
2010,30,8257
2010,31,8467
2010,32,8318
2010,33,8584
2010,34,8635
2010,35,7708
2010,36,8961
2010,37,8727
2010,38,8943
2010,39,8759
2010,40,9195
2010,41,9218
2010,42,9286
2010,43,9275
2010,44,9668
2010,45,9406
2010,46,9437
2010,47,9473
2010,48,9220
2010,49,11193
2010,50,10880
2010,51,11484
2010,52,9689
2011,1,12644
2011,2,13133
2011,3,11438
2011,4,10555
2011,5,10235
2011,6,10019
2011,7,9757
2011,8,9433
2011,9,9453
2011,10,9648
2011,11,9842
2011,12,9707
2011,13,9312
2011,14,9557
2011,15,9327
2011,16,8335
2011,17,8064
2011,18,9853
2011,19,10140
2011,20,8949
2011,21,9163
2011,22,7913
2011,23,9254
2011,24,8961
2011,25,8715
2011,26,8710
2011,27,8705
2011,28,8461
2011,29,8500
2011,30,8456
2011,31,8787
2011,32,8573
2011,33,8426
2011,34,8466
2011,35,7717
2011,36,8769
2011,37,8612
2011,38,8527
2011,39,8919
2011,40,8719
2011,41,8705
2011,42,8638
2011,43,9139
2011,44,9640
2011,45,9042
2011,46,9305
2011,47,9166
2011,48,9203
2011,49,9828
2011,50,10348
2011,51,11151
2011,52,8472
2012,1,10514
2012,2,11343
2012,3,10393
2012,4,10320
2012,5,10117
2012,6,10287
2012,7,10532
2012,8,11086
2012,9,10945
2012,10,10507
2012,11,10041
2012,12,9864
2012,13,9634
2012,14,8520
2012,15,9992
2012,16,10816
2012,17,10238
2012,18,9957
2012,19,8868
2012,20,9913
2012,21,9602
2012,22,9602
2012,23,6781
2012,24,10170
2012,25,9054
2012,26,8856
2012,27,8909
2012,28,8754
2012,29,8684
2012,30,8877
2012,31,8942
2012,32,8810
2012,33,8776
2012,34,8977
2012,35,7617
2012,36,8848
2012,37,8641
2012,38,8839
2012,39,8865
2012,40,9070
2012,41,9441
2012,42,9284
2012,43,9550
2012,44,9335
2012,45,9683
2012,46,9900
2012,47,9679
2012,48,9394
2012,49,9844
2012,50,10388
2012,51,11461
2012,52,8096
2013,1,11620
2013,2,12541
2013,3,11075
2013,4,11262
2013,5,11314
2013,6,11044
2013,7,11030
2013,8,10850
2013,9,10783
2013,10,11245
2013,11,11180
2013,12,11075
2013,13,9280
2013,14,10890
2013,15,12147
2013,16,11752
2013,17,10625
2013,18,10169
2013,19,8814
2013,20,9847
2013,21,9530
2013,22,8333
2013,23,9482
2013,24,8869
2013,25,8904
2013,26,8589
2013,27,8790
2013,28,8533
2013,29,8790
2013,30,8476
2013,31,8159
2013,32,8280
2013,33,8231
2013,34,8579
2013,35,7688
2013,36,8905
2013,37,8347
2013,38,8635
2013,39,9155
2013,40,9191
2013,41,8939
2013,42,9237
2013,43,9236
2013,44,9107
2013,45,9449
2013,46,9583
2013,47,9587
2013,48,9636
2013,49,9908
2013,50,10033
2013,51,10335
2013,52,6606
2014,1,11448
2014,2,11847
2014,3,11061
2014,4,10374
2014,5,10258
2014,6,10147
2014,7,10198
2014,8,10427
2014,9,10377
2014,10,9828
2014,11,10005
2014,12,9832
2014,13,9622
2014,14,9944
2014,15,9504
2014,16,8000
2014,17,9359
2014,18,10527
2014,19,8613
2014,20,9513
2014,21,9313
2014,22,8034
2014,23,9557
2014,24,9414
2014,25,8946
2014,26,8931
2014,27,8763
2014,28,8784
2014,29,9119
2014,30,8965
2014,31,8916
2014,32,8755
2014,33,8792
2014,34,8769
2014,35,8027
2014,36,9671
2014,37,9284
2014,38,9107
2014,39,9048
2014,40,9271
2014,41,9173
2014,42,9464
2014,43,9603
2014,44,9586
2014,45,9753
2014,46,10036
2014,47,9472
2014,48,9928
2014,49,10267
2014,50,10550
2014,51,11681
2014,52,7837
2015,1,12286
2015,2,16237
2015,3,14866
2015,4,13934
2015,5,12900
2015,6,12039
2015,7,11822
2015,8,11434
2015,9,11472
2015,10,11469
2015,11,10951
2015,12,10568
2015,13,10493
2015,14,9062
2015,15,10089
2015,16,11639
2015,17,10599
2015,18,10134
2015,19,8862
2015,20,10290
2015,21,10005
2015,22,8213
2015,23,10157
2015,24,9548
2015,25,9312
2015,26,9190
2015,27,9205
2015,28,9015
2015,29,8802
2015,30,8791
2015,31,8617
2015,32,8862
2015,33,9148
2015,34,9121
2015,35,9026
2015,36,7878
2015,37,9258
2015,38,9097
2015,39,9529
2015,40,9410
2015,41,9776
2015,42,9511
2015,43,9711
2015,44,9618
2015,45,9994
2015,46,9938
2015,47,9830
2015,48,9822
2015,49,10365
2015,50,10269
2015,51,10689
2015,52,8630
2016,1,13045
2016,2,11501
2016,3,11473
2016,4,11317
2016,5,11052
2016,6,11170
2016,7,10590
2016,8,11056
2016,9,11285
2016,10,11010
2016,11,11022
2016,12,9635
2016,13,10286
2016,14,11599
2016,15,11417
2016,16,10925
2016,17,10413
2016,18,9137
2016,19,10637
2016,20,9953
2016,21,9739
2016,22,7909
2016,23,9873
2016,24,9386
2016,25,9365
2016,26,9228
2016,27,9138
2016,28,9388
2016,29,9350
2016,30,9335
2016,31,9182
2016,32,9172
2016,33,9070
2016,34,9319
2016,35,7923
2016,36,9399
2016,37,9124
2016,38,8945
2016,39,8994
2016,40,9291
2016,41,9719
2016,42,9768
2016,43,9724
2016,44,10152
2016,45,10470
2016,46,10694
2016,47,10603
2016,48,10439
2016,49,11223
2016,50,10533
2016,51,11493
2016,52,8003
2017,1,11991
2017,2,13715
2017,3,13610
2017,4,12877
2017,5,12485
2017,6,12269
2017,7,11644
2017,8,11794
2017,9,11248
2017,10,11077
2017,11,10697
2017,12,10325
2017,13,10027
2017,14,9939
2017,15,8493
2017,16,9644
2017,17,10908
2017,18,9064
2017,19,10693
2017,20,10288
2017,21,10040
2017,22,8332
2017,23,9766
2017,24,9367
2017,25,9627
2017,26,9334
2017,27,9263
2017,28,9376
2017,29,9113
2017,30,8882
2017,31,8941
2017,32,9038
2017,33,9299
2017,34,9382
2017,35,8149
2017,36,9497
2017,37,9454
2017,38,9534
2017,39,9689
2017,40,9778
2017,41,9940
2017,42,10031
2017,43,9739
2017,44,9984
2017,45,10346
2017,46,10275
2017,47,10621
2017,48,10538
2017,49,10781
2017,50,11217
2017,51,12517
2017,52,8487
2018,1,12723
2018,2,15050
2018,3,14256
2018,4,13935
2018,5,13285
2018,6,12495
2018,7,12246
2018,8,12142
2018,9,10854
2018,10,
2018,11,
2018,12,
2018,13,
2018,14,
2018,15,
2018,16,
2018,17,
2018,18,
2018,19,
2018,20,
2018,21,
2018,22,
2018,23,
2018,24,
2018,25,
2018,26,
2018,27,
2018,28,
2018,29,
2018,30,
2018,31,
2018,32,
2018,33,
2018,34,
2018,35,
2018,36,
2018,37,
2018,38,
2018,39,
2018,40,
2018,41,
2018,42,
2018,43,
2018,44,
2018,45,
2018,46,
2018,47,
2018,48,
2018,49,
2018,50,
2018,51,
2018,52,
