LayDay,clutch,bin,postlay,clutch.size,eggcode,eggmass,post.eggmass,dam.oby,hatch
153,3,139,4.9,4,M,0.6,0.52,bb,1
125,2,148,5.06,4,M,0.57,0.51,bb,1
90,1,145,5.51,4,M,0.51,0.51,bb,0
154,3,145,5.92,4,M,0.6,0.49,bb,1
125,2,148,5.06,4,M,0.56,0.47,bb,1
175,3,162,4.4,4,M,0.47,0.47,bb,0
170,3,113,4.47,3,M,0.51,0.46,bb,1
153,3,139,4.9,4,M,0.57,0.45,bb,1
154,3,145,5.92,4,M,0.56,0.45,bb,0
135,2,127,4.71,3,M,0.52,0.45,bb,0
167,2,129,4.45,4,M,0.51,0.45,bb,1
118,2,122,4.67,5,M,0.5,0.44,bb,1
118,2,122,4.67,5,M,0.5,0.43,bb,1
127,2,162,4.12,4,M,0.53,0.42,bb,1
154,3,148,4.97,6,M,0.48,0.42,bb,0
170,3,113,4.47,3,M,0.48,0.42,bb,1
135,2,127,4.71,3,M,0.54,0.41,bb,1
124,2,137,3.93,4,M,0.51,0.41,bb,0
98,1,105,4.96,4,M,0.51,0.41,bb,1
159,2,113,4.47,5,M,0.49,0.41,bb,1
145,2,137,4.4,4,M,0.49,0.41,bb,1
130,2,113,4.83,4,M,0.49,0.41,bb,1
121,2,139,4.57,5,M,0.48,0.41,bb,1
167,2,129,4.45,4,M,0.48,0.41,bb,0
94,1,113,4.46,3,M,0.47,0.41,bb,1
124,2,137,3.93,4,M,0.52,0.4,bb,1
156,3,128,4.92,5,M,0.51,0.4,bb,1
154,3,148,4.97,6,M,0.49,0.4,bb,0
156,3,128,4.92,5,M,0.48,0.4,bb,1
94,1,113,4.46,3,M,0.48,0.4,bb,1
125,2,173,5.32,5,M,0.44,0.4,bb,0
94,1,127,4.34,4,M,0.48,0.39,bb,0
114,1,171,5.86,4,M,0.46,0.39,bb,1
127,2,162,4.12,4,M,0.43,0.39,bb,1
159,2,113,4.47,5,M,0.48,0.38,bb,1
149,3,178,5.66,7,M,0.47,0.38,bb,0
109,1,129,4.24,4,M,0.47,0.38,bb,1
130,2,113,4.83,4,M,0.47,0.38,bb,1
75,1,102,4.56,5,M,0.46,0.38,bb,0
124,2,128,5.16,5,M,0.45,0.38,bb,0
94,1,127,4.34,4,M,0.45,0.38,bb,1
143,2,105,5.4,5,M,0.44,0.38,bb,1
105,2,102,5.13,4,M,0.48,0.37,bb,0
97,1,154,4.3,5,M,0.47,0.37,bb,1
146,3,111,5.66,6,M,0.46,0.37,bb,1
145,2,137,4.4,4,M,0.46,0.37,bb,1
157,2,166,5.84,5,M,0.45,0.37,bb,1
121,2,139,4.57,5,M,0.46,0.36,bb,0
98,1,122,4.44,5,M,0.45,0.36,bb,1
125,1,127,4.9,6,M,0.43,0.36,bb,1
125,1,127,4.9,6,M,0.42,0.36,bb,1
97,1,154,4.3,5,M,0.42,0.36,bb,1
146,3,111,5.66,6,M,0.46,0.35,bb,1
98,1,105,4.96,4,M,0.46,0.35,bb,1
125,2,173,5.32,5,M,0.45,0.35,bb,1
149,3,178,5.66,7,M,0.44,0.35,bb,1
95,1,128,4.63,6,M,0.44,0.35,bb,1
95,1,128,4.63,6,M,0.42,0.35,bb,1
97,1,173,5.15,6,M,0.42,0.35,bb,1
75,1,102,4.56,5,M,0.42,0.35,bb,0
119,2,145,5.35,5,M,0.42,0.35,bb,1
97,1,173,5.15,6,M,0.41,0.35,bb,1
92,1,137,4.04,5,M,0.41,0.35,bb,0
109,1,129,4.24,4,M,0.44,0.34,bb,0
142,2,163,5.05,5,M,0.43,0.34,bb,0
142,2,163,5.05,5,M,0.41,0.34,bb,1
98,1,122,4.44,5,M,0.45,0.33,bb,1
93,1,148,4.07,6,M,0.43,0.33,bb,1
95,1,152,4.4,6,M,0.42,0.33,bb,1
135,2,158,4.96,5,M,0.42,0.33,bb,1
83,1,111,4.72,5,M,0.41,0.33,bb,1
157,3,137,4.33,4,M,0.41,0.33,bb,1
93,1,148,4.07,6,M,0.38,0.33,bb,1
124,2,128,5.16,5,M,0.44,0.32,bb,0
135,2,158,4.96,5,M,0.42,0.32,bb,1
121,2,178,5.71,7,M,0.41,0.32,bb,0
114,1,171,5.86,4,M,0.44,0.31,bb,0
146,2,167,4.09,5,M,0.42,0.31,bb,0
119,2,145,5.35,5,M,0.42,0.31,bb,1
95,1,158,4.95,6,M,0.39,0.31,bb,0
95,1,158,4.95,6,M,0.39,0.31,bb,1
143,2,105,5.4,5,M,0.38,0.31,bb,1
159,3,173,5.18,6,M,0.41,0.3,bb,0
83,1,111,4.72,5,M,0.41,0.3,bb,1
92,1,137,4.04,5,M,0.4,0.3,bb,1
95,1,152,4.4,6,M,0.39,0.3,bb,1
92,1,162,4.13,5,M,0.37,0.3,bb,0
92,1,162,4.13,5,M,0.39,0.29,bb,0
121,2,178,5.71,7,M,0.38,0.29,bb,0
159,3,173,5.18,6,M,0.4,0.28,bb,1
146,2,167,4.09,5,M,0.4,0.28,bb,1
94,1,166,4.86,8,M,0.4,0.27,bb,1
94,1,166,4.86,8,M,0.35,0.27,bb,0
157,2,166,5.84,5,M,0.34,0.24,bb,1
105,1,167,4.08,5,M,0.33,0.23,bb,1
154,3,145,5.92,4,C,0.59,0.59,bb,1
154,3,145,5.92,4,C,0.58,0.58,bb,1
125,2,148,5.06,4,C,0.56,0.56,bb,1
125,2,148,5.06,4,C,0.55,0.55,bb,1
124,2,137,3.93,4,C,0.53,0.53,bb,1
153,3,139,4.9,4,C,0.53,0.53,bb,1
156,3,128,4.92,5,C,0.52,0.52,bb,1
130,2,113,4.83,4,C,0.52,0.52,bb,1
90,1,145,5.51,4,C,0.52,0.52,bb,1
135,2,127,4.71,3,C,0.52,0.52,bb,1
124,2,137,3.93,4,C,0.51,0.51,bb,1
149,3,178,5.66,7,C,0.5,0.5,bb,1
90,1,122,5.22,5,C,0.5,0.5,bb,1
127,2,162,4.12,4,C,0.5,0.5,bb,1
153,3,139,4.9,4,C,0.5,0.5,bb,1
98,1,105,4.96,4,C,0.5,0.5,bb,1
90,1,145,5.51,4,C,0.5,0.5,bb,1
90,1,139,5.15,3,C,0.5,0.5,bb,1
154,3,148,4.97,6,C,0.49,0.49,bb,1
154,3,148,4.97,6,C,0.49,0.49,bb,1
159,2,113,4.47,5,C,0.49,0.49,bb,1
118,2,122,4.67,5,C,0.49,0.49,bb,1
118,2,122,4.67,5,C,0.49,0.49,bb,1
156,3,128,4.92,5,C,0.49,0.49,bb,1
145,2,137,4.4,4,C,0.49,0.49,bb,1
130,2,113,4.83,4,C,0.49,0.49,bb,1
98,1,105,4.96,4,C,0.49,0.49,bb,1
149,3,178,5.66,7,C,0.48,0.48,bb,1
149,3,178,5.66,7,C,0.48,0.48,bb,1
154,3,148,4.97,6,C,0.48,0.48,bb,1
154,3,148,4.97,6,C,0.48,0.48,bb,1
94,1,113,4.46,3,C,0.48,0.48,bb,1
125,1,127,4.9,6,C,0.47,0.47,bb,1
125,1,127,4.9,6,C,0.47,0.47,bb,1
98,1,122,4.44,5,C,0.47,0.47,bb,1
124,2,128,5.16,5,C,0.47,0.47,bb,1
119,2,145,5.35,5,C,0.47,0.47,bb,1
157,2,166,5.84,5,C,0.47,0.47,bb,1
94,1,127,4.34,4,C,0.47,0.47,bb,1
145,2,137,4.4,4,C,0.47,0.47,bb,1
167,2,129,4.45,4,C,0.47,0.47,bb,1
149,3,178,5.66,7,C,0.46,0.46,bb,1
95,1,128,4.63,6,C,0.46,0.46,bb,1
125,1,127,4.9,6,C,0.46,0.46,bb,1
75,1,102,4.56,5,C,0.46,0.46,bb,0
124,2,128,5.16,5,C,0.46,0.46,bb,1
125,2,173,5.32,5,C,0.46,0.46,bb,1
167,2,129,4.45,4,C,0.46,0.46,bb,1
95,1,128,4.63,6,C,0.45,0.45,bb,1
98,1,122,4.44,5,C,0.45,0.45,bb,1
159,2,113,4.47,5,C,0.45,0.45,bb,1
121,2,139,4.57,5,C,0.45,0.45,bb,1
124,2,128,5.16,5,C,0.45,0.45,bb,1
125,2,173,5.32,5,C,0.45,0.45,bb,1
119,2,145,5.35,5,C,0.45,0.45,bb,1
114,1,171,5.86,4,C,0.45,0.45,bb,1
114,1,171,5.86,4,C,0.45,0.45,bb,1
125,1,127,4.9,6,C,0.44,0.44,bb,1
97,1,154,4.3,5,C,0.44,0.44,bb,1
75,1,102,4.56,5,C,0.44,0.44,bb,0
121,2,139,4.57,5,C,0.44,0.44,bb,0
118,2,122,4.67,5,C,0.44,0.44,bb,1
156,3,128,4.92,5,C,0.44,0.44,bb,1
135,2,158,4.96,5,C,0.44,0.44,bb,1
135,2,158,4.96,5,C,0.44,0.44,bb,1
142,2,163,5.05,5,C,0.44,0.44,bb,1
142,2,163,5.05,5,C,0.44,0.44,bb,1
125,2,173,5.32,5,C,0.44,0.44,bb,1
157,2,166,5.84,5,C,0.44,0.44,bb,1
127,2,162,4.12,4,C,0.44,0.44,bb,1
180,2,122,5.18,4,C,0.44,0.44,bb,0
95,1,128,4.63,6,C,0.43,0.43,bb,1
97,1,173,5.15,6,C,0.43,0.43,bb,1
97,1,173,5.15,6,C,0.43,0.43,bb,1
146,2,167,4.09,5,C,0.43,0.43,bb,1
97,1,154,4.3,5,C,0.43,0.43,bb,1
