EggCode,PostEMass,Sex,H.Mass,SVL
C,0.16,M,0.62,25
C,0.19,F,0.65,25
M,0.22,F,0.4,22
M,0.23,M,0.31,22
M,0.23,M,0.35,23
M,0.23,F,0.25,19
C,0.24,M,0.49,23
M,0.24,M,0.26,20
M,0.25,M,0.48,23
M,0.25,F,0.44,19
M,0.25,F,0.51,24
M,0.26,F,0.4,23
M,0.26,M,0.38,22
C,0.26,F,0.68,25
C,0.26,F,0.4,22
M,0.27,F,0.36,24
M,0.27,M,0.42,24
C,0.27,F,0.41,23
M,0.27,M,0.4,23
M,0.27,F,0.41,22
M,0.27,M,0.42,23
C,0.27,F,0.3,21
M,0.28,F,0.43,23
M,0.28,F,0.4,22
M,0.28,F,0.54,23
M,0.28,M,0.37,22
M,0.28,M,0.46,24
C,0.28,F,0.41,23
M,0.28,F,0.35,23
C,0.28,F,0.4,22
M,0.28,M,0.24,20
M,0.28,M,0.42,22
M,0.29,F,0.4,23
M,0.29,M,0.43,22
M,0.29,F,0.43,23
M,0.29,F,0.44,23
C,0.29,M,0.59,25
M,0.29,F,0.35,22
M,0.29,F,0.43,24
M,0.29,F,0.45,23
C,0.29,F,0.36,21
M,0.3,M,0.46,24
M,0.3,M,0.42,23
M,0.3,F,0.42,23
M,0.3,F,0.47,22
M,0.3,M,0.41,22
M,0.3,F,0.48,23
M,0.3,F,0.47,24
M,0.3,F,0.39,21
M,0.3,F,0.45,24
M,0.3,M,0.5,23
M,0.3,M,0.44,24
M,0.3,F,0.4,22
M,0.3,F,0.41,22
M,0.3,F,0.43,23
M,0.3,M,0.46,24
M,0.3,F,0.4,23
M,0.3,M,0.35,22
M,0.3,F,0.38,23
M,0.3,F,0.46,22
M,0.3,M,0.48,24
M,0.3,M,0.46,24
M,0.3,F,0.46,24
C,0.3,F,0.41,23
M,0.31,F,0.52,24
M,0.31,M,0.45,23
C,0.31,F,0.48,24
C,0.31,M,0.47,24
M,0.31,F,0.39,23
M,0.31,F,0.44,24
M,0.31,M,0.47,23
M,0.31,F,0.39,22
M,0.31,F,0.41,23
M,0.31,M,0.5,24
M,0.31,F,0.44,22
M,0.31,M,0.42,23
C,0.31,F,0.44,24
M,0.31,M,0.48,24
M,0.31,F,0.42,24
C,0.31,F,0.37,23
C,0.31,M,0.41,23
C,0.31,F,0.44,23
M,0.31,M,0.61,25
M,0.31,F,0.44,23
M,0.31,M,0.5,23
M,0.31,F,0.44,23
M,0.31,F,0.31,21
M,0.31,F,0.47,23
C,0.31,F,0.39,23
M,0.32,F,0.42,24
M,0.32,F,0.35,22
M,0.32,F,0.48,23
M,0.32,F,0.5,24
C,0.32,M,0.5,24
M,0.32,F,0.41,22
M,0.32,M,0.46,23
M,0.32,M,0.37,22
C,0.32,M,0.51,24
M,0.32,M,0.48,23
M,0.32,F,0.52,25
M,0.32,M,0.46,23
M,0.32,M,0.53,23
C,0.32,F,0.3,20
M,0.32,M,0.39,23
C,0.32,M,0.46,23
M,0.32,F,0.47,24.5
M,0.32,M,0.46,24
M,0.32,F,0.51,25
M,0.32,F,0.43,23
M,0.33,M,0.46,24
M,0.33,M,0.46,24
M,0.33,F,0.37,21
M,0.33,F,0.45,22
M,0.33,F,0.5,23
M,0.33,M,0.51,24
M,0.33,F,0.51,23
C,0.33,F,0.51,23
M,0.33,F,0.53,24
C,0.33,M,0.35,22
C,0.33,M,0.52,24
M,0.33,M,0.48,24
M,0.33,F,0.3,21
M,0.33,F,0.47,25
M,0.33,M,0.59,25
C,0.33,F,0.36,22
C,0.33,F,0.48,25
M,0.33,M,0.48,24
M,0.33,F,0.43,23
M,0.33,M,0.36,21
M,0.33,F,0.48,24
M,0.33,F,0.48,23
M,0.33,F,0.49,24
C,0.33,M,0.52,24
M,0.33,M,0.5,25
M,0.33,F,0.46,23
C,0.33,F,0.43,22
M,0.34,M,0.39,24
C,0.34,M,0.44,23
M,0.34,M,0.54,26
C,0.34,M,0.43,25
C,0.34,M,0.49,24
M,0.34,F,0.31,19
C,0.34,M,0.46,23
C,0.34,F,0.51,24
C,0.34,F,0.51,25
C,0.34,M,0.52,23
C,0.34,F,0.54,25
M,0.34,F,0.45,24
C,0.34,M,0.53,24
M,0.34,F,0.5,23
M,0.34,F,0.53,23
M,0.34,M,0.55,24
M,0.34,M,0.46,24
M,0.34,M,0.49,24
C,0.34,M,0.55,25
C,0.34,F,0.44,23
M,0.34,F,0.48,24
C,0.34,M,0.44,23
M,0.34,F,0.52,25
C,0.34,F,0.45,24
M,0.34,F,0.49,24
M,0.34,M,0.43,23
C,0.34,M,0.63,25
M,0.34,F,0.45,22
C,0.34,M,0.52,24
M,0.34,M,0.49,23
M,0.34,F,0.36,22
M,0.34,F,0.43,24
M,0.34,F,0.47,24
M,0.34,M,0.47,24
M,0.34,F,0.46,24
C,0.34,M,0.46,23
C,0.35,M,0.55,25
C,0.35,M,0.57,24
C,0.35,M,0.56,24
C,0.35,F,0.51,25
C,0.35,M,0.55,24
M,0.35,M,0.48,23
C,0.35,F,0.49,25
M,0.35,F,0.49,24
M,0.35,F,0.5,24
C,0.35,M,0.5,26
C,0.35,F,0.51,25
C,0.35,F,0.53,23
M,0.35,F,0.51,24
M,0.35,M,0.51,23
M,0.35,F,0.42,24
C,0.35,F,0.49,24
M,0.35,F,0.5,25
M,0.35,F,0.53,24
C,0.35,F,0.56,24
M,0.35,F,0.42,23
M,0.35,M,0.53,23
M,0.35,M,0.57,25
M,0.35,M,0.58,25
M,0.35,M,0.53,26
M,0.35,F,0.55,22
C,0.35,M,0.52,25
C,0.35,M,0.44,23
M,0.35,M,0.46,24
M,0.35,M,0.63,25
M,0.35,M,0.53,24
C,0.35,M,0.4,22
M,0.35,M,0.46,23
C,0.35,F,0.49,23
M,0.35,M,0.57,25
M,0.35,F,0.47,24
M,0.35,F,0.58,24
M,0.35,M,0.29,21
M,0.35,F,0.54,24
M,0.35,F,0.46,24
M,0.35,F,0.5,24
M,0.35,M,0.48,24
M,0.36,F,0.51,24
C,0.36,M,0.57,24
C,0.36,M,0.53,25
C,0.36,M,0.53,24
C,0.36,F,0.58,26
M,0.36,M,0.48,23
C,0.36,F,0.56,25
M,0.36,F,0.53,24
C,0.36,M,0.55,24
M,0.36,F,0.46,23
M,0.36,F,0.51,24
C,0.36,M,0.51,25
C,0.36,F,0.56,25
M,0.36,F,0.56,24
C,0.36,F,0.52,25
C,0.36,F,0.52,24
C,0.36,M,0.56,24
C,0.36,M,0.53,24
C,0.36,M,0.33,22
M,0.36,F,0.41,23
M,0.36,F,0.43,24
C,0.36,F,0.56,25
M,0.36,M,0.5,24
M,0.36,F,0.51,24
M,0.36,F,0.53,25
M,0.36,M,0.52,23
M,0.36,M,0.54,25
C,0.36,M,0.54,24
M,0.36,M,0.49,25
M,0.36,M,0.54,24
C,0.36,F,0.53,23
M,0.36,M,0.54,24
M,0.36,F,0.49,24
M,0.36,F,0.5,25
C,0.36,F,0.48,24
M,0.36,F,0.43,22
M,0.36,F,0.49,24
M,0.36,M,0.56,23
M,0.36,M,0.5,25
M,0.36,F,0.52,24
M,0.36,F,0.5,24
M,0.36,F,0.54,24
C,0.36,F,0.68,26
M,0.36,M,0.65,25
C,0.36,F,0.55,25
M,0.36,M,0.43,23
M,0.37,M,0.46,23
C,0.37,M,0.48,24
M,0.37,F,0.46,24
C,0.37,F,0.51,24
C,0.37,F,0.53,24
C,0.37,F,0.54,25
C,0.37,M,0.57,26
C,0.37,M,0.48,25
C,0.37,M,0.54,26
M,0.37,M,0.4,22
C,0.37,F,0.5,24
C,0.37,M,0.55,24
C,0.37,M,0.51,25
M,0.37,M,0.52,25
C,0.37,F,0.52,24
C,0.37,M,0.48,24
C,0.37,F,0.54,25
M,0.37,F,0.54,24
C,0.37,M,0.58,25
M,0.37,F,0.25,19
C,0.37,F,0.49,24
C,0.37,M,0.46,23
C,0.37,M,0.51,24
