treat2,spr.fmr,Part Date
1,131.54,116
1,135.41,123
1,150.54,122
1,196.25,121
1,236.89,118
1,242.43,139
1,243.07,124
1,253.38,132
1,255.64,126
1,257.76,122
1,273.35,124
1,285.2,122
1,290.21,121
1,290.45,117
1,303.78,132
1,316.74,128
1,318.45,136
1,325.22,128
1,336.28,122
1,339.12,121
1,344.52,123
1,346.01,121
1,352.67,125
1,369.55,129
1,374.51,133
1,377.41,115
1,385.56,136
1,405.26,122
1,414.61,132
1,435.42,128
1,440.7,130
1,444.8,119
1,449.25,115
1,487.81,104
1,493.04,119
1,510.59,125
1,522.57,128
1,546.83,146
1,583.37,112
1,587.89,135
2,297.98,119
2,371.34,120
2,483.13,126
2,501.55,125
2,502.85,113
