GRID,YR,mom,litter.size,SEX,Growt,cones
LL,1989,5,3,F,1.722222222,3.160903
LL,1989,5,3,F,1.777777778,3.160903
LL,1989,5,3,F,1.833333333,3.160903
SU,1989,94,2,F,2.333333333,3.160903
SU,1989,94,2,F,2.5,3.160903
SU,1989,319,2,M,0.666666667,3.160903
SU,1989,319,2,F,1.933333333,3.160903
KL,1989,458,1,M,2.75,3.160903
SU,1989,489,2,M,2,3.160903
SU,1989,489,2,F,1.7,3.160903
KL,1989,498,3,M,1.785714286,3.160903
KL,1989,498,3,M,1.857142857,3.160903
KL,1989,498,3,M,2,3.160903
SU,1989,500,3,F,1.7,3.160903
SU,1989,500,3,M,2,3.160903
SU,1989,500,3,F,2.1,3.160903
LL,1989,507,3,M,2.545454545,3.160903
LL,1989,507,3,F,2.545454545,3.160903
LL,1989,507,3,M,2.727272727,3.160903
SU,1990,6,2,M,0.111111111,0
SU,1990,6,2,M,0.444444444,0
SU,1990,8,3,F,2.090909091,0
SU,1990,8,3,F,2.272727273,0
SU,1990,8,3,F,2.272727273,0
SU,1990,20,2,M,0.80952381,0
SU,1990,20,2,F,1.428571429,0
KL,1990,458,3,M,1.258064516,0
KL,1990,458,3,F,1.35483871,0
KL,1990,458,3,F,1.387096774,0
KL,1990,472,2,F,1.5,0
KL,1990,472,2,M,1.5,0
KL,1990,483,2,M,2.071428571,0
KL,1990,483,2,M,2.071428571,0
SU,1990,486,3,M,1.785714286,0
SU,1990,486,3,M,1.928571429,0
SU,1990,486,3,M,2.071428571,0
SU,1990,490,2,F,1.793103448,0
SU,1990,490,2,M,1.896551724,0
LL,1990,493,3,M,2,0
LL,1990,493,3,M,2,0
LL,1990,493,3,F,2.125,0
LL,1990,497,3,F,1.409090909,0
LL,1990,497,3,M,1.863636364,0
LL,1990,497,3,F,1.909090909,0
KL,1990,501,2,M,1.214285714,0
KL,1990,501,2,M,1.285714286,0
SU,1990,520,3,M,1.473684211,0
SU,1990,520,3,F,1.5,0
SU,1990,520,3,F,1.631578947,0
SU,1990,521,2,F,1.304347826,0
SU,1990,521,2,M,1.434782609,0
SU,1991,13,3,F,2.05,2.210846
SU,1991,13,3,F,2.35,2.210846
SU,1991,13,3,F,2.05,2.210846
LL,1991,17,2,F,2.347826087,2.210846
LL,1991,17,2,F,2.52173913,2.210846
SU,1991,18,2,F,2,2.210846
SU,1991,18,2,F,2.181818182,2.210846
SU,1991,20,3,M,2,2.210846
SU,1991,20,3,M,2,2.210846
SU,1991,20,3,F,2,2.210846
LL,1991,23,3,F,1.411764706,2.210846
LL,1991,23,3,M,1.647058824,2.210846
LL,1991,23,3,M,1.705882353,2.210846
SU,1991,27,3,M,1.75,2.210846
SU,1991,27,3,F,1.833333333,2.210846
SU,1991,27,3,M,1.958333333,2.210846
LL,1991,34,2,F,1.954545455,2.210846
LL,1991,34,2,M,2.227272727,2.210846
