host.plant,aphid.clone,aphid.plant.combination,honeydew
Vicia faba,Trifolium race (T),Trifolium.faba,1.08
Vicia faba,Trifolium race (T),Trifolium.faba,2.21
Vicia faba,Trifolium race (T),Trifolium.faba,2.63
Vicia faba,Trifolium race (T),Trifolium.faba,1.63
Vicia faba,Trifolium race (T),Trifolium.faba,3.51
Vicia faba,Trifolium race (T),Trifolium.faba,2.53
Vicia faba,Trifolium race (T),Trifolium.faba,2.92
Vicia faba,Trifolium race (T),Trifolium.faba,0.98
Vicia faba,Trifolium race (T),Trifolium.faba,2.39
Vicia faba,Trifolium race (T),Trifolium.faba,2.05
Trifolium pratense,Trifolium race (T),Trifolium.pratense,0.36
Trifolium pratense,Trifolium race (T),Trifolium.pratense,0.74
Trifolium pratense,Trifolium race (T),Trifolium.pratense,1
Trifolium pratense,Trifolium race (T),Trifolium.pratense,0.79
Trifolium pratense,Trifolium race (T),Trifolium.pratense,0.55
Trifolium pratense,Trifolium race (T),Trifolium.pratense,1.05
Trifolium pratense,Trifolium race (T),Trifolium.pratense,1.46
Trifolium pratense,Trifolium race (T),Trifolium.pratense,1.09
Vicia faba,Pisum race (P1),Pisum.faba,1.03
Vicia faba,Pisum race (P1),Pisum.faba,2.48
Vicia faba,Pisum race (P1),Pisum.faba,1.31
Vicia faba,Pisum race (P1),Pisum.faba,4.33
Vicia faba,Pisum race (P1),Pisum.faba,2.33
Vicia faba,Pisum race (P1),Pisum.faba,2.68
Vicia faba,Pisum race (P1),Pisum.faba,3.34
Vicia faba,Pisum race (P1),Pisum.faba,2.46
Vicia faba,Pisum race (P1),Pisum.faba,2.74
Vicia faba,Pisum race (P1),Pisum.faba,5.83
Pisum sativum,Pisum race (P1),Pisum.sativum,0.89
Pisum sativum,Pisum race (P1),Pisum.sativum,1.69
Pisum sativum,Pisum race (P1),Pisum.sativum,1.52
Pisum sativum,Pisum race (P1),Pisum.sativum,2.87
Pisum sativum,Pisum race (P1),Pisum.sativum,3.54
Pisum sativum,Pisum race (P1),Pisum.sativum,3.76
Pisum sativum,Pisum race (P1),Pisum.sativum,1.96
Vicia faba,Medicago race (M1),Medicago.faba,1.06
Vicia faba,Medicago race (M1),Medicago.faba,0.88
Vicia faba,Medicago race (M1),Medicago.faba,1.87
Vicia faba,Medicago race (M1),Medicago.faba,1.42
Vicia faba,Medicago race (M1),Medicago.faba,0.39
Vicia faba,Medicago race (M1),Medicago.faba,1.2
Vicia faba,Medicago race (M1),Medicago.faba,0.39
Vicia faba,Medicago race (M1),Medicago.faba,1.41
Medicago sativa,Medicago race (M1),Medicago.sativa,0.88
Medicago sativa,Medicago race (M1),Medicago.sativa,0.59
Medicago sativa,Medicago race (M1),Medicago.sativa,1.08
Medicago sativa,Medicago race (M1),Medicago.sativa,2.71
Medicago sativa,Medicago race (M1),Medicago.sativa,1.63
Medicago sativa,Medicago race (M1),Medicago.sativa,2.98
Medicago sativa,Medicago race (M1),Medicago.sativa,2.94
Medicago sativa,Medicago race (M1),Medicago.sativa,2.43
Medicago sativa,Medicago race (M1),Medicago.sativa,2.34
