Common.Name,Invasion,Parental.care,tolerance,source,trophic,propagule.pressure,prior.invasion
American Shad,1,1,2,3,P,4,0
Bigscale logperch,1,3,3,2,I,1,0
Black bullhead,1,3,4,3,O,2,21
Black crappie,1,3,3,3,I,2,3
Blue catfish,1,3,2,3,C,2,0
Blue tilapia,1,3,3,4,H,2,20
Bluegill,1,3,3,3,I,2,13
Brook stickleback,1,3,2,3,I,1,0
Brook trout,1,2,1,3,I,3,32
Brown bullhead,1,3,3,3,O,2,21
Brown trout,1,2,2,4,C,4,26
Channel catfish,1,3,3,3,C,2,8
Common carp,1,1,4,4,O,2,46
Fathead minnow,1,3,4,3,D,4,3
Flathead catfish,1,3,3,3,C,2,0
Golden shoner,1,1,3,3,I,2,0
Goldfish,1,1,4,4,D,2,33
Grass carp,1,1,2,4,H,2,9
Green sunfish,1,3,4,3,I,1,9
Inland silverside,1,1,3,3,P,3,0
Kokanee,1,2,2,2,P,2,1
Lake trout,1,2,1,3,C,3,4
Largemouth bass,1,3,3,3,C,2,53
Mozambique mouthbrooder,1,3,4,4,H,2,58
Northern pike,1,1,2,3,C,1,7
Porthole livebearer,1,4,3,2,O,1,2
Pumpkinseed,1,3,2,3,I,1,16
Rainwater killifish,1,3,4,3,I,2,0
Red shiner,1,1,3,3,O,2,0
Redbelly tilapia,1,3,3,4,H,1,15
Redear sunfish,1,3,2,3,I,3,6
Redeye bass,1,3,2,3,I,2,1
Sailfin molly,1,4,4,3,D,1,8
Shimofuri goby,1,3,3,4,I,3,1
Shortfin molly,1,4,3,4,H,1,6
Smallmouth bass,1,3,2,3,C,2,12
Spotted bass,1,3,3,3,C,2,2
Striped bass,1,1,2,3,C,2,2
Tench,1,1,4,4,I,1,15
Threadfin shad,1,1,2,3,P,2,1
Wkasagi,1,1,2,4,P,4,1
Warmouth,1,3,3,3,I,2,2
Western mosquitofish,1,4,4,3,I,2,68
White bass,1,1,2,3,C,2,0
White catfish,1,3,4,3,C,1,1
White crappie,1,3,2,3,I,2,1
Yellow bullhead,1,3,3,3,I,1,0
Yellow perch,1,1,2,3,I,3,0
Yellowfin goby,1,3,3,4,I,3,3
Alligator gar,0,1,3,3,C,1,0
American eel,0,1,3,3,C,1,0
Angelfish,0,3,1,4,I,1,0
Arawana,0,3,2,4,C,1,0
Arctic grayling,0,2,1,2,I,3,0
Argentine pearlfish,0,2,4,4,I,1,0
Atlantic salmon,0,2,1,3,C,3,4
Ayu,0,1,3,4,H,4,0
Bighead carp,0,1,3,4,O,1,8
Bigmouth buffalo,0,1,2,3,O,1,3
Blackfin pearlfish,0,2,4,4,I,2,0
Bluefin killifish,0,3,3,3,I,1,0
Bluntnose minnow,0,3,3,3,O,1,0
Bonneville cisco,0,1,1,2,P,4,0
Brook silversides,0,3,3,2,P,2,0
Emerald shiner,0,1,2,3,P,1,0
European eel,0,1,3,4,C,1,0
Giant rivulus,0,2,1,3,C,1,1
Grass pickerel,0,1,2,3,C,2,0
Green guapote,0,3,2,2,O,1,0
Green swordtail,0,1,3,4,O,1,16
Guppy,0,1,3,4,O,2,34
Jack Dempsey,0,3,1,4,O,1,3
Japanese medaka,0,1,2,4,O,1,0
Lake whitefish,0,1,2,3,P,4,1
Mexican tetra,0,1,2,2,I,1,0
Milkfish,0,1,3,4,D,1,0
Muskellunge,0,1,2,3,C,3,0
Pacu,0,1,2,4,H,1,0
Rio pearlfish,0,2,3,4,I,2,0
Rock bass,0,3,2,3,C,2,3
Shortfin eel,0,1,3,4,C,1,0
Southern platyfish,0,4,4,2,O,1,11
Tiger barb,0,1,2,4,H,1,0
Variable platyfish,0,1,4,2,O,1,3
Walking catfish,0,3,4,3,C,1,7
Walleye,0,1,1,3,C,4,0
Zebra danio,0,1,2,4,O,1,2
