treatment,fecundity
control,75
control,77
control,88
control,60
control,45
control,69
control,75
control,73
control,32
control,56
control,78
control,43
control,43
control,56
control,68
control,52
control,48
control,96
control,61
control,94
control,67
control,58
control,66
control,76
control,66
control,56
control,62
control,112
control,68
control,67
control,88
control,67
control,56
control,80
control,102
control,62
control,91
control,58
mantid,66
mantid,48
mantid,54
mantid,52
mantid,59
mantid,51
mantid,72
mantid,50
mantid,69
mantid,40
mantid,45
mantid,35
mantid,32
mantid,80
mantid,76
mantid,39
mantid,48
mantid,52
mantid,62
mantid,62
mantid,60
mantid,70
mantid,66
mantid,68
mantid,39
mantid,42
mantid,39
mantid,39
mantid,63
mantid,58
mantid,64
mantid,55
mantid,47
mantid,82
mantid,72
mantid,59
mantid,52
