location,lure,moths
top, scent,28
top, scent,19
top, scent,32
top, scent,15
top, scent,13
middle, scent,39
middle, scent,12
middle, scent,42
middle, scent,25
middle, scent,21
lower, scent,44
lower, scent,21
lower, scent,38
lower, scent,32
lower, scent,29
ground, scent,17
ground, scent,12
ground, scent,23
ground, scent,19
ground, scent,14
top, sugar,35
top, sugar,22
top, sugar,33
top, sugar,21
top, sugar,17
middle, sugar,36
middle, sugar,38
middle, sugar,44
middle, sugar,27
middle, sugar,22
lower, sugar,42
lower, sugar,17
lower, sugar,31
lower, sugar,29
lower, sugar,37
ground, sugar,18
ground, sugar,27
ground, sugar,15
ground, sugar,29
ground, sugar,16
top, chemical,32
top, chemical,29
top, chemical,16
top, chemical,18
top, chemical,20
middle, chemical,37
middle, chemical,40
middle, chemical,18
middle, chemical,28
middle, chemical,36
lower, chemical,35
lower, chemical,39
lower, chemical,41
lower, chemical,31
lower, chemical,34
ground, chemical,22
ground, chemical,25
ground, chemical,14
ground, chemical,16
ground, chemical,19
